查询序号,主题词,卡片名,命中结果数,最高分,一级主题,对应主题页,主题页路径,置信度,匹配分,匹配依据,相近主题词,相近卡片,备选主题页,命中词,主要书名,页码,是否有结果,处理建议,Claude检索建议,是否新增主题
1762,经验 马赫主义,1762_经验_马赫主义.md,3,44.04,苏联哲学,列宁哲学与社会主义实践,苏联哲学/列宁哲学与社会主义实践.md,高,100.0,命中主题路由词：列宁|马赫主义|新经济政策,唯心主义 马赫主义(29.38)；马赫主义 斗争 经验批判论(29.09)；唯物主义和经验批判主义 马赫主义(27.69)；马赫主义 批判 反映论(27.5)；马赫主义 空间 时间 因果性 物质(25.36),1728_唯心主义_马赫主义.md；1590_马赫主义_斗争_经验批判论.md；1653_唯物主义和经验批判主义_马赫主义.md；1538_马赫主义_批判_反映论.md；1539_马赫主义_空间_时间_因果性_物质.md,,经验、马赫主义,"列宁选集第四卷_2012；马克思主义哲学在中国传播与发展的百年历史(下) (胡为雄)；马克思主义哲学的中国化及其历程 (曾乐山著, 曾乐山著, 曾乐山)",1039；39；275,是,可按主题页优先检索,先查主题页《列宁哲学与社会主义实践》，再在 T3/T10 中检索：经验|马赫主义,否
1763,马克思恩格斯 马列著作,1763_马克思恩格斯_马列著作.md,3,51.85,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,高,100.0,命中主题路由词：马恩|马克思|恩格斯|黑格尔法哲学|德意志意识形态|共产党宣言|反杜林论|自然辩证法|哥达纲领,德国 马克思恩格斯(41.36)；英国 马克思恩格斯(41.36)；列宁 马克思恩格斯(41.36)；暴力革命 和平手段 马克思恩格斯(37.35)；马克思恩格斯 生平 思想 早期介绍(37.35),1715_德国_马克思恩格斯.md；1735_英国_马克思恩格斯.md；1780_列宁_马克思恩格斯.md；1187_暴力革命_和平手段_马克思恩格斯.md；1286_马克思恩格斯_生平_思想_早期介绍.md,,马克思恩格斯、马列著作,马列著作在中国的出版；马克思主义哲学在中国传播与发展的百年历史(下) (胡为雄)；马克思主义哲学在中国传播与发展的百年历史(上) (胡为雄),276；288；113,是,可按主题页优先检索,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：马克思恩格斯|马列著作,否
1764,无产阶级 法国,1764_无产阶级_法国.md,3,46.28,理论方法,阶级斗争与社会革命理论,理论方法/阶级斗争与社会革命理论.md,中,80.41,与既有主题相近：无产阶级 民主革命 领导权；国家 革命 无产阶级专政；无产阶级专政 历史经验 认识,无产阶级 资产阶级(30.71)；俄国 无产阶级(30.71)；农民 无产阶级(30.71)；无产阶级 列宁(30.71)；无产阶级 马克思(29.38),1705_无产阶级_资产阶级.md；1712_俄国_无产阶级.md；1807_农民_无产阶级.md；1839_无产阶级_列宁.md；1781_无产阶级_马克思.md,,无产阶级、法国,列宁专题文集·论无产阶级政党；马恩文集第十卷（书信选编）；马克思主义中国化的历史进程,279；876；186,是,可按主题页优先检索,先查主题页《阶级斗争与社会革命理论》，再在 T3/T10 中检索：无产阶级|法国,否
1765,儒学 意识形态,1765_儒学_意识形态.md,3,44.07,理论方法,哲学基本范畴与辩证法原理,理论方法/哲学基本范畴与辩证法原理.md,中,53.09,与既有主题相近：意识 意识形态 历史；苏联哲学 意识形态功能；德国意识形态 新哲学 确立,意识 意识形态 历史(29.38)；意识形态 马克思(29.38)；经济基础 上层建筑 意识形态(25.77)；中国文化 儒学(12.78)；儒学 衰落 西学 兴起(12.27),1089_意识_意识形态_历史.md；1790_意识形态_马克思.md；1681_经济基础_上层建筑_意识形态.md；1731_中国文化_儒学.md；0684_儒学_衰落_西学_兴起.md,,儒学、意识形态,百年中国哲学革命 (许全兴著)；马克思主义哲学中国化与中国哲学的现代转型；中国文化与马克思主义,440；6；141,是,可按主题页优先检索,先查主题页《哲学基本范畴与辩证法原理》，再在 T3/T10 中检索：儒学|意识形态,否
1766,唯心主义 辩证唯物主义,1766_唯心主义_辩证唯物主义.md,3,51.68,理论方法,辩证唯物主义体系,理论方法/辩证唯物主义体系.md,高,100.0,命中主题路由词：辩证法|唯物主义|对立统一|量变质变|否定之否定,历史唯物主义 辩证唯物主义(45.0)；历史唯物主义 辩证唯物主义 列宁(42.5)；辩证唯物主义 研讨 争论(40.42)；毛泽东 共产主义 辩证唯物主义 转变(40.0)；瞿秋白 辩证唯物主义 传播(39.62),1707_历史唯物主义_辩证唯物主义.md；1800_历史唯物主义_辩证唯物主义_列宁.md；0981_辩证唯物主义_研讨_争论.md；0577_毛泽东_共产主义_辩证唯物主义_转变.md；0335_瞿秋白_辩证唯物主义_传播.md,,唯心主义、辩证唯物主义,列宁专题文集·论辩证唯物主义和历史唯物主义；米丁-辩证唯物论历史唯物论下-rightToLeft；“新哲学”大众化运动研究,87；165,是,可按主题页优先检索,先查主题页《辩证唯物主义体系》，再在 T3/T10 中检索：唯心主义|辩证唯物主义,否
1767,劳动 工人阶级,1767_劳动_工人阶级.md,3,44.04,理论方法,政治经济学与资本主义批判,理论方法/政治经济学与资本主义批判.md,低,48.29,与既有主题相近：社会的人 劳动 工具；黄包车夫 劳动 苦难；劳动 剩余价值 生产,工人阶级 英国(30.71)；工人阶级 斗争(30.71)；工人阶级 白领工人 蓝领工人(27.5)；民族工业 工人阶级 壮大(26.82)；过渡时期 工人阶级 民族资产阶级 矛盾(24.69),1737_工人阶级_英国.md；1778_工人阶级_斗争.md；1470_工人阶级_白领工人_蓝领工人.md；1423_民族工业_工人阶级_壮大.md；0680_过渡时期_工人阶级_民族资产阶级_矛盾.md,,劳动、工人阶级,"马克思主义哲学在中国：传播 应用 形态 前景 (徐素华著, 徐素华著, 徐素华, 徐素華)；马恩文集第八卷（《资本论》手稿选编）；马克思主义哲学史教程",96；669；71,是,先核验原卡片再使用,先查主题页《政治经济学与资本主义批判》，再在 T3/T10 中检索：劳动|工人阶级,否
1768,翻译出版 马列著作,1768_翻译出版_马列著作.md,3,49.27,当代反思,社会主义建设时期哲学讨论与反思,当代反思/社会主义建设时期哲学讨论与反思.md,高,53.64,与既有主题相近：马列著作 翻译出版 新中国,马列著作 翻译出版 新中国(53.64)；苏联哲学家 著作 翻译出版(27.69)；马克思主义哲学 经典著作 翻译出版(25.88)；马克思恩格斯 马列著作(25.77)；五四时期 马克思主义著作 翻译 出版(5.88),0637_马列著作_翻译出版_新中国.md；0907_苏联哲学家_著作_翻译出版.md；0104_马克思主义哲学_经典著作_翻译出版.md；1763_马克思恩格斯_马列著作.md；0144_五四时期_马克思主义著作_翻译_出版.md,,翻译出版、马列著作,马列著作在中国的出版；马克思主义哲学在中国传播与发展的百年历史(下) (胡为雄)；中国马克思主义学术史纲,175；281；77,是,可按主题页优先检索,先查主题页《社会主义建设时期哲学讨论与反思》，再在 T3/T10 中检索：翻译出版|马列著作,否
1769,大众哲学 艾思奇,1769_大众哲学_艾思奇.md,3,50.38,新哲学大众化,艾思奇与大众哲学,新哲学大众化/艾思奇与大众哲学.md,高,100.0,命中主题路由词：大众哲学|艾思奇,艾思奇 大众哲学 贡献(48.89)；艾思奇 大众哲学 中国化(47.5)；艾思奇 大众哲学 哲学大众化(47.5)；艾思奇 大众哲学 大众化形态(46.36)；艾思奇 大众哲学 通俗著作(46.36),0359_艾思奇_大众哲学_贡献.md；0370_艾思奇_大众哲学_中国化.md；0371_艾思奇_大众哲学_哲学大众化.md；0357_艾思奇_大众哲学_大众化形态.md；0389_艾思奇_大众哲学_通俗著作.md,,大众哲学、艾思奇,从唯物辩证法论战到马克思主义哲学大众化——对艾思奇《大众哲学》的解读_李维武；《大众哲学》_马克思主义哲学大众化的经典范本_张立波；《矛盾论》的主要矛盾理论与《大众哲学》无关及其他,11；3；1,是,可按主题页优先检索,先查主题页《艾思奇与大众哲学》，再在 T3/T10 中检索：大众哲学|艾思奇,否
1770,什么是新启蒙运动 张申府,1770_什么是新启蒙运动_张申府.md,3,52.71,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,100.0,命中主题路由词：新启蒙|继承五四|扬弃五四,什么是新启蒙运动(57.5)；什么是新启蒙运动 艾思奇(53.46)；张申府 新启蒙运动(28.64)；张申府 新启蒙运动 民主(26.54)；张申府 新哲学 思想(18.33),1869_什么是新启蒙运动.md；0427_什么是新启蒙运动_艾思奇.md；1742_张申府_新启蒙运动.md；1614_张申府_新启蒙运动_民主.md；0369_张申府_新哲学_思想.md,,什么是新启蒙运动、张申府,什么是新启蒙运动；继承五四和扬弃五四；马克思主义中国化的起源语境,4；103；79,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：什么是新启蒙运动|张申府,否
1771,无产阶级 资本主义,1771_无产阶级_资本主义.md,3,49.22,理论方法,政治经济学与资本主义批判,理论方法/政治经济学与资本主义批判.md,中,118.22,与既有主题相近：资本主义 社会主义 关系；社会主义 资本主义 辩证关系；资本主义 生产方式 历史运动,资产阶级 资本主义(38.75)；无产阶级 资产阶级(32.5)；劳动 资本主义(28.33)；俄国 无产阶级(28.33)；俄国 资本主义(28.33),1743_资产阶级_资本主义.md；1705_无产阶级_资产阶级.md；1710_劳动_资本主义.md；1712_俄国_无产阶级.md；1713_俄国_资本主义.md,,无产阶级、资本主义,列宁专题文集·论资本主义；列宁专题文集·论无产阶级政党；米丁-辩证唯物论历史唯物论下-rightToLeft,100；455；136,是,可按主题页优先检索,先查主题页《政治经济学与资本主义批判》，再在 T3/T10 中检索：无产阶级|资本主义,否
1772,德国 社会主义,1772_德国_社会主义.md,3,46.38,理论方法,政治经济学与资本主义批判,理论方法/政治经济学与资本主义批判.md,中,157.88,与既有主题相近：资本主义 社会主义 关系；社会主义 计划 商品 市场；社会主义 资本主义 辩证关系,俄国 社会主义(36.67)；法国 社会主义(36.67)；社会主义 列宁(30.71)；观察周刊 社会主义(28.33)；社会主义 资产阶级(28.33),1758_俄国_社会主义.md；1817_法国_社会主义.md；1840_社会主义_列宁.md；1647_观察周刊_社会主义.md；1739_社会主义_资产阶级.md,,德国、社会主义,列宁专题文集·论社会主义；马恩文集第十卷（书信选编）；马恩文集第五卷（资本论1）,441；967；1038,是,可按主题页优先检索,先查主题页《政治经济学与资本主义批判》，再在 T3/T10 中检索：德国|社会主义,否
1773,大众哲学 新哲学,1773_大众哲学_新哲学.md,3,47.91,新哲学大众化,艾思奇与大众哲学,新哲学大众化/艾思奇与大众哲学.md,高,100.0,命中主题路由词：大众哲学|艾思奇,大众哲学(35.0)；大众哲学 艾思奇(29.38)；现象 本质 大众哲学(28.33)；形式 内容 大众哲学(28.33)；大众哲学 日常生活(28.33),1849_大众哲学.md；1769_大众哲学_艾思奇.md；0399_现象_本质_大众哲学.md；0400_形式_内容_大众哲学.md；1632_大众哲学_日常生活.md,,大众哲学、新哲学,“新哲学”大众化运动研究；《大众哲学》_马克思主义哲学大众化的经典范本_张立波；马克思主义哲学在中国传播与发展的百年历史(上) (胡为雄),168；2；310,是,可按主题页优先检索,先查主题页《艾思奇与大众哲学》，再在 T3/T10 中检索：大众哲学|新哲学,否
1774,德国 费尔巴哈,1774_德国_费尔巴哈.md,3,44.06,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,中,63.33,与既有主题相近：费尔巴哈 唯物主义 基本内核；新哲学 诞生 黑格尔 费尔巴哈；马克思主义 欧洲传播 德国,费尔巴哈 唯物主义 基本内核(25.77)；新哲学 诞生 黑格尔 费尔巴哈(25.77)；德国 资产阶级(12.78)；农民战争 德国(12.78)；帝国主义 德国(12.78),0024_费尔巴哈_唯物主义_基本内核.md；0419_新哲学_诞生_黑格尔_费尔巴哈.md；1719_德国_资产阶级.md；1738_农民战争_德国.md；1760_帝国主义_德国.md,,德国、费尔巴哈,马克思主义哲学史教程；马克思主义哲学中国化与中国哲学的现代转型；马恩文集第九卷（反杜林论 自然辩证法）,75；47；664,是,可按主题页优先检索,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：德国|费尔巴哈,否
1775,唯物史观 李大钊,1775_唯物史观_李大钊.md,3,45.42,理论方法,历史唯物主义体系,理论方法/历史唯物主义体系.md,高,100.0,命中主题路由词：唯物史观|社会形态|经济基础|上层建筑,李大钊 唯物史观 研究(48.89)；李大钊 唯物史观 初步应用(46.36)；李大钊 社会改造 唯物史观(46.36)；李大钊 阶级斗争 唯物史观(46.36)；李大钊 唯物史观 史学要论(46.36),0258_李大钊_唯物史观_研究.md；0272_李大钊_唯物史观_初步应用.md；0274_李大钊_社会改造_唯物史观.md；0280_李大钊_阶级斗争_唯物史观.md；0302_李大钊_唯物史观_史学要论.md,,唯物史观、李大钊,"马克思主义哲学中国化与中国哲学的现代转型；马克思主义哲学史教程；马克思主义哲学的中国化及其历程 (曾乐山著, 曾乐山著, 曾乐山)",287；864；50,是,可按主题页优先检索,先查主题页《历史唯物主义体系》，再在 T3/T10 中检索：唯物史观|李大钊,否
1776,仁学 谭嗣同,1776_仁学_谭嗣同.md,3,42.73,论战与思想运动,中国近代启蒙与民主革命,论战与思想运动/中国近代启蒙与民主革命.md,高,100.0,命中主题路由词：康有为|谭嗣同|梁启超|严复|中国近代,谭嗣同 仁学 个性解放(33.33)；谭嗣同 仁学 冲决网罗(33.33)；谭嗣同 冲决网罗 仁学(33.33)；康有为 谭嗣同(22.14)；谭嗣同 以太说 唯名论(20.0),0163_谭嗣同_仁学_个性解放.md；0175_谭嗣同_仁学_冲决网罗.md；0248_谭嗣同_冲决网罗_仁学.md；1727_康有为_谭嗣同.md；0249_谭嗣同_以太说_唯名论.md,,仁学、谭嗣同,中国近代思想史论；马克思主义哲学中国化与中国哲学的现代转型；中国现代思想史论,181；75；13,是,可按主题页优先检索,先查主题页《中国近代启蒙与民主革命》，再在 T3/T10 中检索：仁学|谭嗣同,否
1777,机械论者 辩证法,1777_机械论者_辩证法.md,3,46.99,理论方法,辩证唯物主义体系,理论方法/辩证唯物主义体系.md,高,100.0,命中主题路由词：辩证法|唯物主义|对立统一|量变质变|否定之否定,苏联哲学 机械论者 辩证论者(31.36)；机械论者 辩证论者 自然科学(31.36)；苏联哲学 机械论者 辩证论者 论争(29.62)；进攻 防御 辩证法(20.0)；持久 速决 辩证法(20.0),0830_苏联哲学_机械论者_辩证论者.md；1275_机械论者_辩证论者_自然科学.md；0893_苏联哲学_机械论者_辩证论者_论争.md；1325_进攻_防御_辩证法.md；1326_持久_速决_辩证法.md,,机械论者、辩证法,毛泽东哲学批注集：辩证法唯物论教程批注 (毛泽东)；张东荪-唯物辩证法论战；苏联哲学70年 (安启念著),43；31,是,可按主题页优先检索,先查主题页《辩证唯物主义体系》，再在 T3/T10 中检索：机械论者|辩证法,否
1778,工人阶级 斗争,1778_工人阶级_斗争.md,3,44.05,理论方法,阶级斗争与社会革命理论,理论方法/阶级斗争与社会革命理论.md,低,45.45,与既有主题相近：阶级斗争 方法 马克思；阶级斗争 国家 阶级属性；阶级斗争 简单化 公式化,工人阶级 英国(30.71)；劳动 工人阶级(30.71)；工人阶级 白领工人 蓝领工人(27.5)；民族工业 工人阶级 壮大(26.82)；过渡时期 工人阶级 民族资产阶级 矛盾(24.69),1737_工人阶级_英国.md；1767_劳动_工人阶级.md；1470_工人阶级_白领工人_蓝领工人.md；1423_民族工业_工人阶级_壮大.md；0680_过渡时期_工人阶级_民族资产阶级_矛盾.md,,工人阶级、斗争,马克思主义哲学史教程；米丁-辩证唯物论历史唯物论下-rightToLeft；共产主义abc中文翻译版,406；317；241,是,先核验原卡片再使用,先查主题页《阶级斗争与社会革命理论》，再在 T3/T10 中检索：工人阶级|斗争,否
1779,自然科学 黑格尔,1779_自然科学_黑格尔.md,3,45.36,理论方法,自然科学哲学与科学方法,理论方法/自然科学哲学与科学方法.md,中,166.62,与既有主题相近：自然科学 唯物论 观念论；胡适 理性主义 自然科学；新哲学 自然科学 经济学 应用,德国 自然科学(29.38)；自然辩证法 自然科学(27.5)；自然科学 人生观 影响(26.82)；自然科学 唯物论 观念论(26.25)；胡适 理性主义 自然科学(26.25),1786_德国_自然科学.md；1667_自然辩证法_自然科学.md；0210_自然科学_人生观_影响.md；0415_自然科学_唯物论_观念论.md；0475_胡适_理性主义_自然科学.md,,自然科学、黑格尔,百年中国哲学革命 (许全兴著)；马克思主义哲学在中国传播与发展的百年历史(上) (胡为雄)；马克思主义哲学史教程,613；245；377,是,可按主题页优先检索,先查主题页《自然科学哲学与科学方法》，再在 T3/T10 中检索：自然科学|黑格尔,否
1780,列宁 马克思恩格斯,1780_列宁_马克思恩格斯.md,3,49.01,苏联哲学,列宁哲学与社会主义实践,苏联哲学/列宁哲学与社会主义实践.md,高,100.0,命中主题路由词：列宁|马赫主义|新经济政策,德国 马克思恩格斯(43.89)；英国 马克思恩格斯(43.89)；马克思恩格斯 马列著作(41.36)；暴力革命 和平手段 马克思恩格斯(38.33)；马克思恩格斯 生平 思想 早期介绍(38.33),1715_德国_马克思恩格斯.md；1735_英国_马克思恩格斯.md；1763_马克思恩格斯_马列著作.md；1187_暴力革命_和平手段_马克思恩格斯.md；1286_马克思恩格斯_生平_思想_早期介绍.md,,列宁、马克思恩格斯,列宁选集第二卷_2012；列宁选集第四卷_2012；列宁选集第一卷_2012,864；923；884,是,可按主题页优先检索,先查主题页《列宁哲学与社会主义实践》，再在 T3/T10 中检索：列宁|马克思恩格斯,否
1781,无产阶级 马克思,1781_无产阶级_马克思.md,3,47.9,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,高,100.0,命中主题路由词：马恩|马克思|恩格斯|黑格尔法哲学|德意志意识形态|共产党宣言|反杜林论|自然辩证法|哥达纲领,资产阶级 马克思(32.86)；无产阶级 资产阶级(29.38)；俄国 无产阶级(29.38)；无产阶级 法国(29.38)；农民 无产阶级(29.38),1757_资产阶级_马克思.md；1705_无产阶级_资产阶级.md；1712_俄国_无产阶级.md；1764_无产阶级_法国.md；1807_农民_无产阶级.md,,无产阶级、马克思,"马克思主义中国化的历史进程；马克思主义哲学在中国：传播 应用 形态 前景 (徐素华著, 徐素华著, 徐素华, 徐素華)；马克思主义哲学在中国的传播与马克思主义哲学中国化",418；120；10,是,可按主题页优先检索,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：无产阶级|马克思,否
1782,共产主义 劳动,1782_共产主义_劳动.md,3,46.52,理论方法,政治经济学与资本主义批判,理论方法/政治经济学与资本主义批判.md,低,36.81,与既有主题相近：黄包车夫 劳动 苦难；社会的人 劳动 工具；劳动 剩余价值 生产,共产主义 翻译(30.71)；共产主义 社会主义 发展经验(26.25)；毛泽东 共产主义 辩证唯物主义 转变(25.0)；劳动 资本主义(16.25)；剩余价值 劳动(12.78),1837_共产主义_翻译.md；1477_共产主义_社会主义_发展经验.md；0577_毛泽东_共产主义_辩证唯物主义_转变.md；1710_劳动_资本主义.md；1625_剩余价值_劳动.md,,共产主义、劳动,共产主义abc中文翻译版；中国马克思主义学术史纲；马克思主义哲学在中国传播与发展的百年历史(下) (胡为雄),461；137；185,是,先核验原卡片再使用,先查主题页《政治经济学与资本主义批判》，再在 T3/T10 中检索：共产主义|劳动,否
1783,五四新文化 新文化运动,1783_五四新文化_新文化运动.md,3,49.48,传播史,五四新文化与马克思主义早期传播,传播史/五四新文化与马克思主义早期传播.md,高,100.0,命中主题路由词：五四|新文化运动,新文化运动 五四运动 学术史(35.42)；五四新文化 民主 科学(34.09)；五四新文化 传统 反传统(34.09)；五四以前 新文化运动 意义 局限(33.93)；新文化运动 价值观 变革(33.33),0118_新文化运动_五四运动_学术史.md；0166_五四新文化_民主_科学.md；0182_五四新文化_传统_反传统.md；0127_五四以前_新文化运动_意义_局限.md；0133_新文化运动_价值观_变革.md,,五四新文化、新文化运动,"百年中国哲学革命 (许全兴著)；马克思主义哲学的中国化及其历程 (曾乐山著, 曾乐山著, 曾乐山)；从“决裂论”到“土壤论”——新启蒙运动对马克思主义与中国传统文化关系的认识深化_崔海亮",423；27；7,是,可按主题页优先检索,先查主题页《五四新文化与马克思主义早期传播》，再在 T3/T10 中检索：五四新文化|新文化运动,否
1784,改良派 资产阶级,1784_改良派_资产阶级.md,3,45.42,理论方法,阶级斗争与社会革命理论,理论方法/阶级斗争与社会革命理论.md,中,58.47,与既有主题相近：资产阶级 哲学革命 辛亥革命；国家 革命 无产阶级专政；无产阶级 民主革命 领导权,俄国 资产阶级(29.38)；法国 资产阶级(29.38)；无产阶级 资产阶级(29.38)；斗争 资产阶级(29.38)；英国 资产阶级(29.38),1691_俄国_资产阶级.md；1703_法国_资产阶级.md；1705_无产阶级_资产阶级.md；1717_斗争_资产阶级.md；1718_英国_资产阶级.md,,改良派、资产阶级,中国近代思想史论；近五十年中国思想史 (郭湛波)；百年中国哲学革命 (许全兴著),341；9；420,是,可按主题页优先检索,先查主题页《阶级斗争与社会革命理论》，再在 T3/T10 中检索：改良派|资产阶级,否
1785,马克思主义哲学教科书 中国马克思主义哲学 教科书编写,1785_马克思主义哲学教科书_中国马克思主义哲学_教科书编写.md,3,71.06,苏联哲学,马克思主义哲学教科书体系,苏联哲学/马克思主义哲学教科书体系.md,高,100.0,命中主题路由词：马克思主义哲学教科书|教科书体系|高清海,中国马克思主义哲学 教科书 建构(57.19)；马克思主义哲学教科书 编写 演化(57.19)；全国通用 马克思主义哲学教科书 编写(55.28)；中国马克思主义哲学 转换(52.5)；中国马克思主义哲学 中国之根 问题(50.53),0931_中国马克思主义哲学_教科书_建构.md；1636_马克思主义哲学教科书_编写_演化.md；0932_全国通用_马克思主义哲学教科书_编写.md；1819_中国马克思主义哲学_转换.md；0720_中国马克思主义哲学_中国之根_问题.md,,马克思主义哲学教科书、中国马克思主义哲学、教科书编写,中国马克思主义哲学教科书编写之起步、发展与演化（1922—1949）；一本教科书、一个时代、一种...学原理教科书的再思考(下)_何萍；一本教科书、一个时代、一种...学原理教科书的再思考(上)_何萍,1；12；5,是,可按主题页优先检索,先查主题页《马克思主义哲学教科书体系》，再在 T3/T10 中检索：马克思主义哲学教科书|中国马克思主义哲学|教科书编写,否
1786,德国 自然科学,1786_德国_自然科学.md,3,44.08,理论方法,自然科学哲学与科学方法,理论方法/自然科学哲学与科学方法.md,中,170.44,与既有主题相近：自然科学 唯物论 观念论；胡适 理性主义 自然科学；新哲学 自然科学 经济学 应用,自然科学 黑格尔(29.38)；自然辩证法 自然科学(28.33)；自然科学 人生观 影响(27.5)；自然科学 唯物论 观念论(26.82)；胡适 理性主义 自然科学(26.82),1779_自然科学_黑格尔.md；1667_自然辩证法_自然科学.md；0210_自然科学_人生观_影响.md；0415_自然科学_唯物论_观念论.md；0475_胡适_理性主义_自然科学.md,,德国、自然科学,马恩文集第九卷（反杜林论 自然辩证法）；马恩文集第十卷（书信选编）；列宁专题文集·论辩证唯物主义和历史唯物主义,679；891；409,是,可按主题页优先检索,先查主题页《自然科学哲学与科学方法》，再在 T3/T10 中检索：德国|自然科学,否
1787,中国马克思主义哲学 当代中国马克思主义 哲学大众化,1787_中国马克思主义哲学_当代中国马克思主义_哲学大众化.md,3,71.58,新哲学大众化,新哲学大众化运动,新哲学大众化/新哲学大众化运动.md,高,100.0,命中主题路由词：哲学大众化|新哲学运动|延安知识分子,中国马克思主义哲学 转换(52.5)；中国马克思主义哲学 中国之根 问题(50.53)；中国马克思主义哲学 教科书 建构(50.53)；马克思主义在中国 马克思主义中国化 当代中国马克思主义(50.53)；中国马克思主义哲学 何以是中国的哲学(50.0),1819_中国马克思主义哲学_转换.md；0720_中国马克思主义哲学_中国之根_问题.md；0931_中国马克思主义哲学_教科书_建构.md；0965_马克思主义在中国_马克思主义中国化_当代中国马克思主义.md；0724_中国马克思主义哲学_何以是中国的哲学.md,,中国马克思主义哲学、当代中国马克思主义、哲学大众化,当代中国马克思主义哲学大众化的基本原则与推进路径_尚庆飞；马克思主义哲学大众化的当代思考_郭建宁；“新哲学”大众化运动研究,3；1；4,是,可按主题页优先检索,先查主题页《新哲学大众化运动》，再在 T3/T10 中检索：中国马克思主义哲学|当代中国马克思主义|哲学大众化,否
1788,中国马克思主义 马克思主义者,1788_中国马克思主义_马克思主义者.md,3,56.03,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,高,100.0,命中主题路由词：马恩|马克思|恩格斯|黑格尔法哲学|德意志意识形态|共产党宣言|反杜林论|自然辩证法|哥达纲领,中国马克思主义 毛泽东(48.64)；中国马克思主义 概念界定(47.5)；中国马克思主义 历史使命(47.5)；中国马克思主义 学术史 研究(46.54)；中国马克思主义 学术史 起步(46.54),1982_中国马克思主义_毛泽东.md；1629_中国马克思主义_概念界定.md；1818_中国马克思主义_历史使命.md；0915_中国马克思主义_学术史_研究.md；0917_中国马克思主义_学术史_起步.md,,中国马克思主义、马克思主义者,中国马克思主义学术史纲；中国马克思主义哲学教科书编写之起步、发展与演化（1922—1949）；中国马克思主义：概念界定与历史使命_王庆丰,49；3；11,是,可按主题页优先检索,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：中国马克思主义|马克思主义者,否
1789,唯物辩证法论战 马克思主义哲学 哲学大众化,1789_唯物辩证法论战_马克思主义哲学_哲学大众化.md,3,68.84,论战与思想运动,思想论战与文化批判,论战与思想运动/思想论战与文化批判.md,高,100.0,命中主题路由词：张东荪|动的逻辑|唯物辩证法论战|叶青,唯物辩证法论战 马克思主义哲学(89.12)；马克思主义哲学 哲学大众化(74.71)；马克思主义哲学 哲学大众化 大众哲学(73.16)；马克思主义哲学 哲学大众化 艾思奇(72.5)；马克思主义哲学 哲学大众化 延安时期(71.9),1426_唯物辩证法论战_马克思主义哲学.md；1813_马克思主义哲学_哲学大众化.md；1791_马克思主义哲学_哲学大众化_大众哲学.md；1798_马克思主义哲学_哲学大众化_艾思奇.md；1792_马克思主义哲学_哲学大众化_延安时期.md,,唯物辩证法论战、马克思主义哲学、哲学大众化,从唯物辩证法论战到马克思主义哲学大众化——对艾思奇《大众哲学》的解读_李维武；“新哲学”大众化运动研究；马克思主义哲学中国化与中国哲学的现代转型,1；173；685,是,可按主题页优先检索,先查主题页《思想论战与文化批判》，再在 T3/T10 中检索：唯物辩证法论战|马克思主义哲学|哲学大众化,否
1790,意识形态 马克思,1790_意识形态_马克思.md,3,47.91,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,高,100.0,命中主题路由词：马恩|马克思|恩格斯|黑格尔法哲学|德意志意识形态|共产党宣言|反杜林论|自然辩证法|哥达纲领,儒学 意识形态(29.38)；意识 意识形态 历史(28.33)；经济基础 上层建筑 意识形态(25.36)；马克思 列宁(21.25)；中国文化 马克思(20.0),1765_儒学_意识形态.md；1089_意识_意识形态_历史.md；1681_经济基础_上层建筑_意识形态.md；1843_马克思_列宁.md；1736_中国文化_马克思.md,,意识形态、马克思,"马克思主义哲学史教程；马克思主义哲学的中国化及其历程 (曾乐山著, 曾乐山著, 曾乐山)；马克思主义哲学在中国传播与发展的百年历史(上) (胡为雄)",762；192；24,是,可按主题页优先检索,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：意识形态|马克思,否
